Manuscript Identifier	COI	Funding
PONE-D-15-14856	The authors have declared that no competing interests exist.	"Funding was provided by CMRPG2A0271, CMRPG2A0272, CMRPG2A0273, CMRPG2C0181, CMRPG270403 and CMRPG2C0182 from the Chang Gung Medical Research Foundation (CCS), and the Ministry of Science and Technology, Taiwan (grant number 102-2314-B-182A-089 -MY2) (CCS)."
PONE-D-15-14862	The authors have declared that no competing interests exist.	"This research was supported by NSFC grants 31470876, 91029736, 91442111 and ISF-NSFC program 31461143010, a Ministry of Science and Technology grant (863 program, 2008AA02Z129), the National Key Scientific Program (2011CB964902) the Program for Changjiang Scholars and Innovative Research Team in University (No. IRT13023) and State Key Laboratory of Medicinal Chemical Biology."
PONE-D-15-14879	The authors have declared that no competing interests exist.	"This work was supported by National Institutes of Health grants EY 0022403 (DS), EY018827 (DS), and EY003040 (DS)."
PONE-D-15-14881	The authors have declared that no competing interests exist.	"Funded by National Institutes of Health T32NS007413 and R25NS065745. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14902	The authors have declared that no competing interests exist.	"This research was supported by Fundação de Amparo à Pesquisa do Estado de São Paulo - FAPESP (2010/04490-4 and 2007/51698-7), Conselho Nacional de Desenvolvimento Científico e Tecnológico - CNPQ (304467/2010-3 and 306992/2014-0) and Fundação Butantan."
PONE-D-15-14915	The authors have declared that no competing interests exist.	"This project was financially supported by the FONARSEC department of the Argentinean Ministry of Science, with a Grant on Fuctional Food, 'INTA BIO AF 03' (VP) (http://www.agencia.mincyt.gob.ar/frontend/agencia/fondo/fonarsec), the INTA specific project NºPNBIO-1131033 (VP) (www.inta.gob.ar), and the Division of Intramural Research in NIAID, NIH, USA (KG) (www.nih.gov). The salaries of VP and LG were supported by INTA. Salaries of AA and MB were supported by CONICET. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14921	The authors have declared that no competing interests exist.	The work was supported by Grant-in Aid for Challenging Exploratory Research (26670406).
PONE-D-15-14923	The authors have declared that no competing interests exist.	"This work was supported by a Grant-in-Aid for Scientific Research from the Japan Science and Technology Agency (JST) under the Broader Collaboration of Regional Entities for the Advancement of Technological Excellence (CREATE) Program, the Research Project on Development of Agricultural Products and Foods with Health-promoting Benefits from the National Agriculture and Food Research Organization (NARO), and the Grant of Cross-Ministerial Strategic Innovation Promotion Program (SIP), Council for Science, Technology and Innovation, Cabinet Office, Government of Japan. CREAT: http://www.shizuoka-tiikikesshu.jp/outline/index.html. SIP: http://www8.cao.go.jp/cstp/gaiyo/sip/. NARO: http://www.naro.affrc.go.jp/project/f_foodpro/index.html. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-14958	The authors have declared that no competing interests exist.	This work was supported by grants from the National Animal Transgenic Breeding Grand Project (No. 2013ZX08008-004 and 2014ZX08008-004) and A Project Funded by the Priority Academic Program Development of Jiangsu Higher Education Institutions.
PONE-D-15-14960	The authors have declared that no competing interests exist.	"This work was supported by a Grant-in-aid for Scientific Research (C-24592610) from the Ministry of Education, Science and Culture of Japan (KO)."
PONE-D-15-14975	The human synphilin-1 mouse is a tangible property of Johns Hopkins University. The human synphilin-1 transgenic Drosophila is a tangible property of University of Maryland. Wanli W. Smith served as an academic editor in the editorial board of PLOS ONE and stated that 'This does not alter the authors' adherence to PLOS ONE Editorial policies and criteria.�	"This work was supported by National Institutes of Health, Grants: DK083410 to W.W.S. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-15007	The authors have declared that no competing interests exist.	These authors have no support or funding to report.
PONE-D-15-15011	The authors declare no conflicts of interest.	"This study was supported by Ministery of Economy (SAF2013-41761-R-FEDER), Ministery of Health (Retic-ISCIII-FEDER-RD12/0028/0024- and Plan Nacional sobre Drogas - 2014/020), and Generalitat de Catalunya (2014SGR34) to Olga Valverde; and Ministery of Health (Retic-ISCIII-FEDER-RD06/0001/1004, RD12/0028/0019) to Jorge Manzanares. Emily Johansson was a recipient of a fellowship from Stiftelsen Olle Engkvist Byggmästare and Bodil Torkelssons stiftelse. The authors declare no conflicts of interest. "
PONE-D-15-15013	The authors have declared that no competing interests exist.	"Primary funding for this work was provided from CSIR Network Project BioDiscovery (BSC0120) and OLP-0113/OLP107. RG is supported by a grant from DST under Women Scientist Scheme-A (SR/WOS-A/LS-220/2012). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. "
PONE-D-15-15021	The authors have declared that no competing interests exist.	"This work was funded by the US National Institutes of Health grants RO1 AG033570, 1 RC1 AG036208-01, the Brain Research Foundation G-2010-10 (OL), and 5 T32 HL 007692-24 (JAB)."
PONE-D-15-15030	The authors have declared that no competing interests exist.	"This work was supported by grants from Instituto de Salud Carlos III: FIS- Fondo de Investigación Sanitaria Carlos III, which is part of the Spanish National Plan of I+D+I, co-financed by the ISCIII Subdireción General de evaluación and the European Regional Development Fund (FIS PI14/00330, PI13/080126, PI12/01274, PI12/042380 and PI11/041538 to PS-B, PG, VA, JC, and RB, respectively); National Institutes of Health (NIH)- National Institute on Alcohol Abuse and Alcoholism (NIAAA)(1U01AA021908-01-33490 to PS-B and 1U01AA021908 to RB); a grant to PS-B from the Instituto de Salud Carlos III, Miguel Servet and co-financed by Fondo Europeo de Desarrollo Europeo (FEDER), Unión Europea, “Una manera de hacer Europa� (CP11/00071); a grant to SA from Institut d'Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS); and a grant to DR-T from the Ministerio de Educación, Cultura y Deporte, FPU program. MC was funded by Instituto de Salud Carlos III, Sara Borrell. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-15043	The authors have declared that no competing interests exist.	"The project was supported by grants from The Novo Nordisk Foundation (AHL), the Danish Cancer Society (CKF, AHL), the Helmholtz Portfolio Theme 'Metabolic Dysfunction and Common Disease’ (JB), the Helmholtz Alliance ‘Imaging and Curing Environmental Metabolic Diseases’ (JB) and by the German Federal Ministry of Education and Research, Infrafrontier grant 01KX1012 (MHA). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
